,classes
0,n04149813
1,n03207743
2,n04418357
3,n04604644
4,n03337140
5,n02114548
6,n01532829
7,n01981276
8,n02443484
9,n04275548
10,n02074367
11,n01843383
12,n04596742
13,n04389033
14,n03527444
15,n01704323
16,n03347037
17,n03544143
18,n03062245
19,n02091831
20,n07697537
21,n02113712
22,n03980874
23,n02105505
24,n04258138
25,n09256479
26,n01930112
27,n04067472
28,n03535780
29,n03770439
30,n02981792
31,n02950826
32,n02129165
33,n02120079
34,n02099601
35,n02971356
36,n03272010
37,n13054560
38,n02108551
39,n02457408
40,n02138441
41,n04509417
42,n02091244
43,n03773504
44,n02116738
45,n07613480
46,n03127925
47,n02101006
48,n13133613
49,n02165456
50,n03047690
51,n03146219
52,n02606052
53,n06794110
54,n02871525
55,n07747607
56,n04251144
57,n03584254
58,n02108089
59,n01749939
60,n02174001
61,n01558993
62,n04243546
63,n03417042
64,n02111277
65,n04443257
66,n03888605
67,n03476684
68,n04522168
69,n02108915
70,n09246464
71,n02089867
72,n03838899
73,n04146614
74,n03220513
75,n03775546
76,n01770081
77,n03075370
78,n03400231
79,n02219486
80,n03676483
81,n04612504
82,n02823428
83,n04435653
84,n07584110
85,n02110341
86,n01855672
87,n03854065
88,n04515003
89,n04296562
90,n02795169
91,n02687172
92,n02747177
93,n02966193
94,n01910747
95,n02110063
96,n03908618
97,n03017168
98,n03998194
99,n03924679
